d13C,d15N,species,species2,Ecopath_Group,Functional_Group,source,note
-15.92,12.44,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-16.6,13.09,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-14.93,12.67,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-15.26,14.65,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-16.76,13.42,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-16.02,13,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-16.28,9.58,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-15.39,8.98,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-14.91,8.79,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.79,10.98,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-14.98,8.21,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.86,9.39,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-15.36,9.39,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-15.9,6.75,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.14,7.5,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.01,8.84,Hermit Crab (BenthicInvertsebrate),Hermit Crabs,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.09,11.7,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.38,11.82,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-18.37,12.79,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-15.07,10.11,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.34,10.67,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-17.34,11.76,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.29,14.05,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-17.26,14,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-15.48,10.22,Grass Shrimp (BenthicInvertsebrate),Grass Shrimp,Benthic Invertebrate,BenthicInverts,direct measurement,
-15.52,11.46,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-15.87,13.31,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-16.98,12.7,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-16.96,13.1,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-16.76,13.05,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-15.78,12.78,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-15.44,14.04,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-16.84,12.47,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-15.96,13.57,BlueCrab,Blue Crab,Blue Crab,BlueCrab,direct measurement,
-16.05,9.09,Mud Crab (BenthicInvertsebrate),Mud Crab,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.1,9.55,Mud Crab (BenthicInvertsebrate),Mud Crab,Benthic Invertebrate,BenthicInverts,direct measurement,
-15.66,11.94,Mud Crab (BenthicInvertsebrate),Mud Crab,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.26,11.23,Mud Crab (BenthicInvertsebrate),Mud Crab,Benthic Invertebrate,BenthicInverts,direct measurement,
-16.17,10.57,Mud Crab (BenthicInvertsebrate),Mud Crab,Benthic Invertebrate,BenthicInverts,direct measurement,
-15.58,11.86,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-13.79,13.2,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-13.64,13.63,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-14.26,11.77,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-14.11,12.96,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-13.71,13.4,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-14.05,12.48,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-15.23,12.41,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-14.01,12.8,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-13.81,12.62,MudSnail,Mud Snail,Mud Snail,MudSnail,direct measurement,
-18.98,10.7,Oyster,Oyster,Oyster,Oyster,direct measurement,muscle tissue
-19.05,10.44,Oyster,Oyster,Oyster,Oyster,direct measurement,muscle tissue
-19.74,11.02,Oyster,Oyster,Oyster,Oyster,direct measurement,muscle tissue
-19.44,10.05,Oyster,Oyster,Oyster,Oyster,direct measurement,muscle tissue
-18.84,10.35,Oyster,Oyster,Oyster,Oyster,direct measurement,muscle tissue
-19.28,10.35,Oyster,Oyster,Oyster,Oyster,direct measurement,muscle tissue
-18.96,10.46,Oyster,Oyster,Oyster,Oyster,direct measurement,muscle tissue
-18.88,10.25,Oyster,Oyster,Oyster,Oyster,direct measurement,muscle tissue
-19.98,7.3,Phytoplankton,Phytoplankton,Phytoplankton,Phytoplankton,assumed,1 step down from oyster
-20.05,7.04,Phytoplankton,Phytoplankton,Phytoplankton,Phytoplankton,assumed,1 step down from oyster
-20.74,7.62,Phytoplankton,Phytoplankton,Phytoplankton,Phytoplankton,assumed,1 step down from oyster
-20.44,6.65,Phytoplankton,Phytoplankton,Phytoplankton,Phytoplankton,assumed,1 step down from oyster
-19.84,6.95,Phytoplankton,Phytoplankton,Phytoplankton,Phytoplankton,assumed,1 step down from oyster
-20.28,6.95,Phytoplankton,Phytoplankton,Phytoplankton,Phytoplankton,assumed,1 step down from oyster
-19.96,7.06,Phytoplankton,Phytoplankton,Phytoplankton,Phytoplankton,assumed,1 step down from oyster
-19.88,6.85,Phytoplankton,Phytoplankton,Phytoplankton,Phytoplankton,assumed,1 step down from oyster
-18.63,12.36,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-20.39,10.8,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-20.22,10.61,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19.99,10.3,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-18.99,11.63,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19.42,11.39,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19.09,10.95,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19.04,11.42,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-20.57,10.91,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19.33,11.34,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19.62,11.23,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19.35,11.36,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19.64,11.41,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-19,11.54,Zoopplankton,Zooplankton,Zooplankton,Zooplankton,assumed,1 step down from anchovy
-9.33,11.63,Ulva,Ulva,Benthic Algae,Ulva,direct measurement,
-11.36,10.79,Ulva,Ulva,Benthic Algae,Ulva,direct measurement,
-9.81,11.52,Ulva,Ulva,Benthic Algae,Ulva,direct measurement,
-11.93,9.04,Ulva,Ulva,Benthic Algae,Ulva,direct measurement,
-13.02,9.09,Ulva,Ulva,Benthic Algae,Ulva,direct measurement,
-13,9.27,Ulva,Ulva,Benthic Algae,Ulva,direct measurement,
-18.99,10.68,Black Algea,Agardhiella,Benthic Algae,BenthicAlg,direct measurement,
-18.86,11.04,Black Algea,Agardhiella,Benthic Algae,BenthicAlg,direct measurement,
-19,11.08,Black Algea,Agardhiella,Benthic Algae,BenthicAlg,direct measurement,
-19.67,12.6,Green Algea,Enteromorpha,Benthic Algae,BenthicAlg,direct measurement,
-19.45,12.38,Green Algea,Enteromorpha,Benthic Algae,BenthicAlg,direct measurement,
-18.98,12.7,Green Algea,Enteromorpha,Benthic Algae,BenthicAlg,direct measurement,
-18.3,3.4,Detritus,Detritus,Detritus,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
-17,4.6,Detritus,Detritus,Detritus,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
-15.7,5.8,Detritus,Detritus,Detritus,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
-14.4,7,Detritus,Detritus,Detritus,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
-13.1,8.2,Detritus,Detritus,Detritus,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
